,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
15854,06/13/2020,FL,71589,,,2248,0.0,2925,,,48,0.0,06/14/2020 02:19:43 PM,Not agree,Not agree
15855,09/21/2020,TX,698387,,,9853,0.0,14917,,,24,0.0,09/22/2020 01:51:57 PM,Not agree,Not agree
15856,06/08/2020,NYC,209291,204576.0,4715.0,330,7.0,21918,17203.0,4715.0,41,7.0,06/09/2020 04:49:08 PM,Agree,Agree
15857,07/13/2020,AR,28939,,,572,0.0,323,,,2,0.0,07/14/2020 03:13:07 PM,Not agree,Not agree
15858,03/05/2020,SC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
15859,07/27/2020,TN,96489,95433.0,1056.0,2553,63.0,978,943.0,35.0,11,1.0,07/28/2020 02:21:07 PM,Agree,Agree
15860,11/22/2020,NYC,302143,280884.0,21259.0,5693,4117.0,24218,19544.0,4674.0,11,5.0,11/23/2020 03:04:35 PM,Agree,Agree
15861,05/05/2020,IL,65962,65962.0,0.0,2122,0.0,2838,2838.0,0.0,176,0.0,05/06/2020 04:23:08 PM,Agree,Agree
15862,06/18/2020,PA,80762,78451.0,2311.0,526,24.0,6399,,,38,19.0,06/19/2020 03:01:11 PM,Agree,Not agree
15863,06/17/2020,AL,27327,26929.0,398.0,415,10.0,792,787.0,5.0,7,-1.0,06/18/2020 05:16:14 PM,Agree,Agree
15864,02/28/2020,IN,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Agree
15865,12/19/2020,WI,490679,455351.0,35328.0,4315,640.0,4722,4399.0,323.0,90,6.0,12/20/2020 02:32:33 PM,Agree,Agree
15866,11/27/2020,IL,705063,705063.0,0.0,7574,0.0,12686,12029.0,657.0,90,24.0,11/28/2020 02:46:47 PM,Agree,Agree
15867,11/07/2020,NYC,273464,261889.0,11575.0,1084,438.0,24074,19410.0,4664.0,14,2.0,11/08/2020 02:40:34 PM,Agree,Agree
15868,10/12/2020,MS,105941,95966.0,9975.0,1009,332.0,3115,2839.0,276.0,14,4.0,10/13/2020 01:29:38 PM,Agree,Agree
15869,08/17/2020,WY,3331,2829.0,502.0,45,5.0,33,33.0,0.0,3,0.0,08/18/2020 02:26:55 PM,Agree,Agree
15870,08/06/2020,WA,60917,,,833,0.0,1653,,,29,0.0,08/07/2020 11:57:59 PM,,
15871,03/08/2020,FL,6,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
15872,09/30/2020,NJ,205275,,,712,0.0,16122,14335.0,1787.0,5,-4.0,10/01/2020 01:42:11 PM,Not agree,Agree
15873,02/20/2020,NV,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
15874,06/12/2020,ID,3353,3023.0,330.0,51,12.0,87,67.0,20.0,1,0.0,06/13/2020 05:46:26 PM,Agree,Agree
15875,03/23/2020,IL,1285,,,236,,12,,,3,,03/26/2020 04:22:39 PM,Agree,Agree
15876,03/31/2020,WY,120,,,25,,0,,,0,,03/30/2020 04:22:39 PM,Agree,Agree
15877,04/18/2020,TX,18260,,,889,,453,,,25,,04/18/2020 04:22:39 PM,Not agree,Not agree
15878,02/20/2020,WI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
15879,09/14/2020,MI,124287,112612.0,11675.0,1229,141.0,6921,6601.0,320.0,10,0.0,09/15/2020 02:03:59 PM,Agree,Agree
15880,06/05/2020,PR,4620,1330.0,3290.0,112,104.0,141,63.0,78.0,1,1.0,06/06/2020 02:31:37 PM,Agree,Agree
15881,10/02/2020,MN,101366,,,1166,0.0,2112,2059.0,53.0,10,0.0,10/03/2020 01:39:53 PM,,Agree
15882,06/08/2020,PA,76436,74298.0,2138.0,493,22.0,6014,,,61,21.0,06/09/2020 04:49:08 PM,Agree,Not agree
15883,07/24/2020,WY,2405,1972.0,433.0,58,9.0,25,25.0,0.0,0,0.0,07/25/2020 05:40:06 PM,Agree,Agree
15884,10/22/2020,PA,188360,180483.0,7877.0,2063,228.0,8592,,,30,18.0,10/23/2020 01:44:31 PM,Agree,Not agree
15885,04/20/2020,VA,9630,9451.0,179.0,640,42.0,324,321.0,3.0,24,0.0,04/20/2020 04:22:39 PM,Agree,Agree
15886,08/29/2020,MA,127727,118309.0,9418.0,421,0.0,9036,8803.0,233.0,12,0.0,08/30/2020 02:49:52 PM,Agree,Agree
15887,09/26/2020,TX,733438,,,9519,0.0,15485,,,121,0.0,09/27/2020 01:39:49 PM,Not agree,Not agree
15888,06/21/2020,IA,25957,,,461,0.0,685,,,3,0.0,06/22/2020 03:24:02 PM,Not agree,Not agree
15889,04/11/2020,AR,1234,,,32,,27,,,3,,04/10/2020 04:22:39 PM,Not agree,Not agree
15890,06/16/2020,IN,40786,,,356,0.0,2447,2265.0,182.0,14,0.0,06/17/2020 03:06:04 PM,Not agree,Agree
15891,12/06/2020,AZ,364276,351686.0,12590.0,5376,451.0,6950,6431.0,519.0,25,0.0,12/07/2020 02:38:33 PM,Agree,Agree
15892,07/27/2020,NY,188293,,,318,0.0,8822,,,2,0.0,07/28/2020 02:21:07 PM,Not agree,Not agree
15893,02/09/2020,IL,2,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
15894,05/17/2020,ND,1900,1900.0,0.0,52,0.0,43,,,1,0.0,05/18/2020 04:01:54 PM,Agree,Not agree
15895,09/07/2020,PR,35504,16788.0,18716.0,129,33.0,482,319.0,163.0,5,3.0,09/08/2020 02:47:00 PM,Agree,Agree
